,total profit,total trades,win rate,profit factor,maximum drawdown,recovery factor,riskreward ratio,sharpe ratio,average return,stop loss,take profit,pair,setup,freq,numcandles,earliestdate,note,take_profit,stop_loss
38,-10850,317,25.552,0.873,19620,-0.553,3.709,-0.055,-20.972,342,70,EUR_JPY,"[1, 3, 4]",H1,59400000000,3.0,mult = 1.001,100,25
39,6438,956,26.883,1.027,19395,0.332,3.868,0.011,4.552,953,243,EUR_JPY,"[1, 3, 2]",H1,59400000000,3.0,mult = 1.001,100,25
40,-18021,622,24.116,0.885,24492,-0.736,3.686,-0.05,-18.944,624,121,EUR_JPY,"[1, 3, 6]",H1,59400000000,3.0,mult = 1.001,100,25
41,-11847,643,23.95,0.926,23201,-0.511,3.868,-0.028,-11.062,643,138,EUR_JPY,"[1, 3, 9]",H1,59400000000,3.0,mult = 1.001,100,25
42,-4796,535,25.981,0.964,15954,-0.301,3.725,-0.018,-7.095,537,120,EUR_JPY,"[1, 3, 5]",H1,59400000000,3.0,mult = 1.001,100,25
43,-17238,622,23.473,0.891,23016,-0.749,3.85,-0.052,-19.775,631,130,EUR_JPY,"[1, 3, 8]",H1,59400000000,3.0,mult = 1.001,100,25
44,-6044,614,24.43,0.96,28613,-0.211,3.885,-0.017,-6.707,607,139,EUR_JPY,"[1, 3, 10]",H1,59400000000,3.0,mult = 1.001,100,25
45,-9334,607,24.547,0.939,20353,-0.459,3.877,-0.025,-9.686,615,136,EUR_JPY,"[1, 3, 7]",H1,59400000000,3.0,mult = 1.001,100,25
46,-7871,634,23.817,0.949,25046,-0.314,3.917,-0.025,-9.901,623,141,EUR_JPY,"[1, 3, 11]",H1,59400000000,3.0,mult = 1.001,100,25
47,-3626,638,24.608,0.977,24172,-0.15,3.869,-0.01,-4.008,622,144,EUR_JPY,"[1, 3, 12]",H1,59400000000,3.0,mult = 1.001,100,25
48,5073,617,25.77,1.034,28939,0.175,3.857,0.006,2.415,593,143,EUR_JPY,"[1, 3, 14]",H1,59400000000,3.0,mult = 1.001,100,25
49,8725,601,25.957,1.061,23929,0.365,3.897,0.022,8.983,573,143,EUR_JPY,"[1, 3, 13]",H1,59400000000,3.0,mult = 1.001,100,25
50,-15808,592,23.311,0.893,22579,-0.7,3.832,-0.045,-17.305,592,123,EUR_JPY,"[1, 3, 16]",H1,59400000000,3.0,mult = 1.001,100,25
51,-13615,579,23.316,0.905,26788,-0.508,3.856,-0.037,-14.329,575,121,EUR_JPY,"[1, 3, 18]",H1,59400000000,3.0,mult = 1.001,100,25
52,-8320,591,24.027,0.943,24078,-0.346,3.864,-0.025,-9.87,582,130,EUR_JPY,"[1, 3, 15]",H1,59400000000,3.0,mult = 1.001,100,25
